group_ordinal	target_group_id	representative_id	member_ordinal	member_id	representative_length	target_fasta_sha256	profile_digest
22	sha256:0059dae7263519731ac2ddd20023287013df98ab1b5e832d44420396cda691e8	FJ709464.2	1	HQ378247.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
23	sha256:005d293e8623436ed95c01a00bd3cab4f0dcbcbaeb0cfe523f8a7e79f69ecb09	MN769773.1	0	MN769773.1	2791	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
24	sha256:005df59e0cfb77c5a41a5252384f7655767f4b3de2123ece23d04e719c89e6cd	MT217538.1	0	MT217538.1	7770	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
25	sha256:00607a2b3ddcb275cd959d6efe87c5b1617cff1dafa009751e78f0e42eb477ba	MK813915.1	0	MK813915.1	35251	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
26	sha256:00651775c7446ecbfb25658d9931cfeb71f95505727d505dfaa4f5ca31b4aca8	OQ419049.1	0	OQ419049.1	195656	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
27	sha256:00651d73f432be59ece69e6474e54c9499e0c46acee305323665847a65b9eae5	KP745685.1	0	KP745685.1	234598	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
28	sha256:006a91e76b3859dcc2420bfa1dd8fd480c86da26b3e458ad274b1f9a68d02bc2	OP796808.1	0	OP796808.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
29	sha256:006dddb4de8cfc38ad871d988a24ef507132e1fa2d12e5628e6c24e4905cefa0	OQ557949.1	0	OQ557949.1	197177	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
30	sha256:0070fe11f37f12f5f831f9d0ee7d6e3397d0610f01e74b9c8d107239b6d7d709	MH675890.2	0	MH675890.2	7348	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
31	sha256:00744cd285a795f1c4ccc4a4da347373d2e86b3b3ff4bf5c23be8820993cde1b	HM011481.1	0	HM011481.1	3212	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
32	sha256:007472a7755246c9ae4cbfa1c55d927422291c045c54231f7ae8ebe30de29ece	MH777163.2	0	MH777163.2	7235	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
33	sha256:00776eb015caabc5508228847176b473801e0cb482f25461d4abf527859fb3c6	LR862034.1	0	LR862034.1	8092	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
34	sha256:008489491769c4100855953c863f8f76c885c799aee238934541702d103c8106	MT437389.1	0	MT437389.1	3182	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
35	sha256:0084b79d03ed20827b439ec6136e6986d0410dbcc99006f1c4e0046ead9d0149	KM192300.1	0	KM192300.1	227037	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
36	sha256:0087572d6743db9c644be71909787975111fdf76663d2900339b72fe0df2bbf3	FJ562253.1	0	FJ562253.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
37	sha256:008f91116db235791bbe72031b103b16ceff353752e9e69f627d54b0ca2908f4	MN771406.1	0	MN771406.1	2756	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
38	sha256:0094cdb708c7afb188552c2027de1aa566623026b777e6b876f90c1343d63480	GU815656.1	0	GU815656.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
39	sha256:009985da44e1c540c1799e2ecb62c5aeae059320ec02a605286092b8fc2e00fa	OP604522.1	0	OP604522.1	197166	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
40	sha256:00a130a96751b54d6ab8ecc831878bf1978f7d5fad663e665b02df91b2f63dfa	LC535947.1	0	LC535947.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
40	sha256:00a130a96751b54d6ab8ecc831878bf1978f7d5fad663e665b02df91b2f63dfa	LC535947.1	1	LC535948.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
41	sha256:00a27c2ec49a764634a87b232490250e41cfd4d5f680b0c3ac34ec6058d09fbe	ON959169.1	0	ON959169.1	197139	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
42	sha256:00a5cbad6f3ed9a397f784cd6e755a848d44c4e3524d6e9034d8396dee81cd2a	MN769852.1	0	MN769852.1	2875	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
43	sha256:00ab958be7346b4d875ae7dff07b6de55126e9a150fb8e7dd41b07e17f70b870	KC774251.1	0	KC774251.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
44	sha256:00abe43a1be446643d354344755fc65ffd02022f485e0107e73298f21d4f12b3	LR862004.1	0	LR862004.1	7959	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
45	sha256:00b1df9258c97b7bf35e867ec5adc8ac8385ce433bb91856b27a49055538af22	OP871032.1	0	OP871032.1	35759	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
46	sha256:00b68f58fd6c91947dc7d715022276cc05ba0b0b3683a4f142e801a3e70efba3	FJ386636.1	0	FJ386636.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
47	sha256:00b6ee25e58d867f69252959df789af510bcd3759db502d6ca1f38f131dfd16f	MH017572.1	0	MH017572.1	3856	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
48	sha256:00b9ef676e797b74198495690ed035d723c99f585c62e29eae39c5048c8af092	KC774343.1	0	KC774343.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
49	sha256:00bc4250cc02ef521974d28ab0fe11057a550601b08ad97b7fc12374911683da	KJ638659.1	0	KJ638659.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
50	sha256:00bf1b3cdc990a486f4de35945f55b35dafc6988c19742dedff921d47d40913c	JX898698.1	0	JX898698.1	3182	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
51	sha256:00c27901353c659a4c882c31369c20fc3b8e06f3395834ae53bf64ab2e916baf	MZ439455.1	0	MZ439455.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
52	sha256:00c3faf8934eba94cbada46ce4cd070e84829b58dc714f5b5f53879075c6af4c	MZ439399.1	0	MZ439399.1	3209	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
53	sha256:00c6a7b5076e2780a6e96aa4a404c8e66118c391e3d18afb93d99614a05de01b	GQ475340.1	0	GQ475340.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
54	sha256:00ca44773d10de41d062b07955e9f0fa0d86540dd4a42a5831db57eeb1e9ee38	MG877700.1	0	MG877700.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
55	sha256:00cc5638fe9aa5d5201145ad7673faab6708ad26fa42961eff7b3556728f147a	MH481861.1	0	MH481861.1	3182	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
56	sha256:00d00de5d6c5b45b6596f9b7d3e6e4c5109a5772718612ecaf6a7860e73169fc	JQ040151.1	0	JQ040151.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
57	sha256:00d0d731a82d94ae93c3b5a191315b2b8826e9d5c6dcfd658a9496f14fd94727	OQ503745.1	0	OQ503745.1	197192	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
58	sha256:00d218440932602cba1fc932e9669a7348ca0056727568373ae0110b7a5f94f8	KX276835.1	0	KX276835.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
59	sha256:00d295ee94d0e10ede92a7aac4905c226f195adb25d0fcef93690b35462ccedd	FJ496754.1	0	FJ496754.1	5299	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
60	sha256:00d3082ca5e05afa96771f1c96518e7b4eec057f46de01fab5dc5403edd9297b	JX878429.1	0	JX878429.1	196866	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
61	sha256:00d6cdb09bb9347aea61da6250db40de7ee6ad086b5eaff50bf9dfaf43e0ef86	KJ854685.1	0	KJ854685.1	3221	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
62	sha256:00d87b1c6e817912f977a83e1c042e4886fd7a5ec4a9c68c47eb0ce91aa9b2f7	MK069403.1	0	MK069403.1	96283	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
63	sha256:00d8f65d062149bf3b3e83bf0e81bcc616a1c70961ff142e211201b499b43f20	MN770325.1	0	MN770325.1	2940	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
64	sha256:00dd66eb455e75cad48630c9f84a6ed4e37d9bdb0b457d01e088011e9354f990	JN226747.1	0	JN226747.1	35209	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
65	sha256:00dd90c4e9223e72d5e6bce6bbc72b7dedb4874b5f4356f1e25f2c8d82be1a44	KU199684.1	0	KU199684.1	9585	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
65	sha256:00dd90c4e9223e72d5e6bce6bbc72b7dedb4874b5f4356f1e25f2c8d82be1a44	KU199684.1	1	NC_040309.1	9585	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
66	sha256:00deeb02a8e1d01d8999c4962e2bb97b5c0c1ec6d6417cb3e7886cb9ade73523	MN771423.1	0	MN771423.1	2872	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
67	sha256:00dfe68f06ac17e46d1f7826e68c3961a6bb55685ead6a133312de67b0247afa	KY470975.1	0	KY470975.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
68	sha256:00e004dc5644bd063f8d87d1a1012e10916f5759bb3e0a8545e911e941ec77b9	MN769220.1	0	MN769220.1	2896	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
69	sha256:00e1da418c68dfbcb9a7da93a3d5d8f972ad679bdb28383bbf15b1aa92a70f17	MN654390.1	0	MN654390.1	34771	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
70	sha256:00e9b6a5059c5bb87a136b1abc32cbe9c5be855daa8ed48eb34d64a01bc69e9c	MK059769.1	0	MK059769.1	3053	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
71	sha256:00ec45640268d3ed567b11fc0d1524b5b1d70934bed481a357900195a17a59f9	MW455431.1	0	MW455431.1	2824	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
72	sha256:00eec11df017e435a80c8dccbc9d12fe7b3b9415e18b89659b99fee1057d7036	OP971023.1	0	OP971023.1	8074	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
73	sha256:00f0e8d26ce4af8b7441b12540e7d0e687bf1aecc13e1ee66d4f54983f4f00b9	AP019178.1	0	AP019178.1	168069	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
74	sha256:00f25cdf89780474052ce92f403cf55a628580f459a93daf3e0b564e82ff0a31	GQ377586.1	0	GQ377586.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
75	sha256:00f5886b8f3b25e8daf331d5259ee449af22d2354039bd07fd0171b4f8c66360	MZ097647.1	0	MZ097647.1	3182	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
76	sha256:00f799107449e369cdd427fe74541fe3cade649ef4f0a3009eafa3e2312aacc7	HM011555.1	0	HM011555.1	5386	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
77	sha256:00fa435263027a8b8dbe473da03eb8faa39ee92128ea2320aac9f00a270f5cb5	JX429916.1	0	JX429916.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
78	sha256:01017ec0b7569d6c0cff8d9be5ccd985943b30289ec06be1a3e3fcb91f6b1d46	AB303566.1	0	AB303566.1	3223	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
78	sha256:01017ec0b7569d6c0cff8d9be5ccd985943b30289ec06be1a3e3fcb91f6b1d46	AB303566.1	1	NC_038361.1	3223	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
79	sha256:0103e837a3bf23e7b726ca646158b8dd7cad55e9a5d636babf2269e8f7178f79	OP743962.1	0	OP743962.1	197201	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
80	sha256:0106fc7012d406e89c9e76fccaa0536597aafab7ad216963d5d827973ede41b0	MZ983592.1	0	MZ983592.1	33788	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
80	sha256:0106fc7012d406e89c9e76fccaa0536597aafab7ad216963d5d827973ede41b0	MZ983592.1	1	OM372572.1	33788	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
81	sha256:010a47cc7a46a38f7b5232854a25119b698470d1c35c5f72a94b189a4ebe2a35	KX276829.1	0	KX276829.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
82	sha256:010c1f3c1951bf5c79c96da120abbccb0c866f480a2aa0384094b7c3cd31901e	OP415182.1	0	OP415182.1	197205	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
82	sha256:010c1f3c1951bf5c79c96da120abbccb0c866f480a2aa0384094b7c3cd31901e	OP415182.1	1	OP415183.1	197205	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
83	sha256:010d7c63fc3d2bafd0167de482b6969868fb2f7cfd448d5f2a10cae802b1d368	GU815641.1	0	GU815641.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
84	sha256:011282e2a0bbee2f79a1ae678cf40931a2a5468b5e1502de451baf774de00493	MT250602.1	0	MT250602.1	8037	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
85	sha256:0112d31c60a8fbb59d18905467c8c447fe230eac9b0b98862c122adeb70d2b62	MN769796.1	0	MN769796.1	2824	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
86	sha256:011896835d03b8a77fb043f311a48fccee306f2d80cb939dc5bcb314c05e51f0	GQ924651.1	0	GQ924651.1	3215	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
87	sha256:011a6ad31cf24aca587cc38fa064bc4bebf98d2f82fd50bc11c66afc9f461536	KJ804259.1	0	KJ804259.1	93794	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
87	sha256:011a6ad31cf24aca587cc38fa064bc4bebf98d2f82fd50bc11c66afc9f461536	KJ804259.1	1	NC_024355.1	93794	613af44f33628520cb94da05ac3bcb875504a584a695fa32dbee02b04adb8afd	1eb5960774d118530f462d93f316e789cee836c51aedbbb973a11a6bac421088
